flight_id,altitude_ft,battery_drain_%,zone,timestamp
IND-FL-0055,189,75.27,Green,2026-02-15 02:00
IND-FL-0056,200,76.82,Green,2026-02-10 22:36
IND-FL-0057,358,73.92,Red,2026-02-11 12:36
IND-FL-0058,313,67.86,Red,2026-02-13 07:10
IND-FL-0059,218,56.41,Red,2026-02-15 22:18
IND-FL-0060,33,19.56,Red,2026-02-15 14:59
IND-FL-0061,348,39.74,Green,2026-02-15 00:41
IND-FL-0062,145,13.24,Green,2026-02-14 14:11
IND-FL-0063,51,57.29,Yellow,2026-02-14 05:21
IND-FL-0064,369,41.46,Yellow,2026-02-14 19:46
IND-FL-0065,342,75.69,Green,2026-02-16 02:06
IND-FL-0066,436,29.12,Yellow,2026-02-15 00:24
IND-FL-0067,252,53.79,Green,2026-02-12 06:09
IND-FL-0068,171,72.64,Red,2026-02-12 03:49
IND-FL-0069,336,76.23,Green,2026-02-16 03:10
IND-FL-0070,258,43.04,Yellow,2026-02-11 02:15
IND-FL-0071,190,14.54,Red,2026-02-13 23:14
IND-FL-0072,269,49.44,Green,2026-02-14 22:52
IND-FL-0073,180,60.6,Yellow,2026-02-17 12:18
IND-FL-0074,201,53.94,Green,2026-02-17 14:02
IND-FL-0075,147,65.8,Red,2026-02-13 02:12
IND-FL-0076,370,25.47,Yellow,2026-02-13 14:39
IND-FL-0077,428,26.56,Green,2026-02-16 05:29
IND-FL-0078,325,50.79,Red,2026-02-17 06:33
IND-FL-0079,283,50.96,Red,2026-02-13 02:54
IND-FL-0080,431,54.38,Yellow,2026-02-14 13:02
IND-FL-0081,133,71.68,Red,2026-02-15 10:06
IND-FL-0082,104,69.34,Green,2026-02-14 16:30
IND-FL-0083,367,42.02,Yellow,2026-02-16 06:47
IND-FL-0084,168,48.9,Red,2026-02-11 14:01
IND-FL-0085,82,78.33,Green,2026-02-17 18:16
IND-FL-0086,66,41.62,Yellow,2026-02-10 23:03
IND-FL-0087,434,45.12,Yellow,2026-02-13 22:56
IND-FL-0088,190,67.77,Yellow,2026-02-15 08:25
IND-FL-0089,450,61.53,Red,2026-02-14 18:41
IND-FL-0090,6,62.8,Green,2026-02-11 05:24
IND-FL-0091,298,22.4,Green,2026-02-13 17:50
IND-FL-0092,255,63.84,Yellow,2026-02-16 12:59
IND-FL-0093,220,34.8,Red,2026-02-12 00:36
IND-FL-0094,5,31.81,Yellow,2026-02-11 22:46
IND-FL-0095,401,79.15,Red,2026-02-12 12:14
IND-FL-0096,382,44.3,Yellow,2026-02-15 18:51
IND-FL-0097,142,16.1,Green,2026-02-16 15:07
IND-FL-0098,180,60.24,Green,2026-02-12 16:22
IND-FL-0099,43,57.19,Green,2026-02-15 20:32
IND-FL-0100,195,31.12,Red,2026-02-11 06:45
IND-FL-0101,90,50.16,Green,2026-02-17 16:54
IND-FL-0102,264,49.33,Green,2026-02-12 10:46
IND-FL-0103,24,11.53,Yellow,2026-02-16 00:46
IND-FL-0104,162,77.56,Green,2026-02-13 01:57
IND-FL-0105,58,52.32,Green,2026-02-17 12:29
IND-FL-0106,256,29.1,Yellow,2026-02-16 08:08
IND-FL-0107,334,40.31,Green,2026-02-14 00:43
IND-FL-0108,259,26.99,Yellow,2026-02-12 19:03
IND-FL-0109,118,67.84,Green,2026-02-12 00:40
IND-FL-0110,64,36.12,Red,2026-02-13 20:35
IND-FL-0111,126,31.91,Red,2026-02-12 19:19
IND-FL-0112,321,18.75,Yellow,2026-02-16 04:04
IND-FL-0113,342,18.51,Green,2026-02-15 01:55
IND-FL-0114,65,66.96,Yellow,2026-02-15 19:34
IND-FL-0115,353,44.85,Green,2026-02-11 17:14
IND-FL-0116,259,20.62,Green,2026-02-11 09:27
IND-FL-0117,328,45.42,Green,2026-02-11 23:10
IND-FL-0118,326,45.18,Green,2026-02-15 15:20
IND-FL-0119,72,68.89,Red,2026-02-11 05:22
IND-FL-0120,435,44.58,Yellow,2026-02-16 21:32
IND-FL-0121,165,46.47,Green,2026-02-16 17:04
IND-FL-0122,310,39.19,Green,2026-02-16 21:05
IND-FL-0123,342,29.69,Green,2026-02-15 09:57
IND-FL-0124,385,21.65,Green,2026-02-17 16:00
IND-FL-0125,34,59.71,Yellow,2026-02-12 20:39
IND-FL-0126,148,47.49,Yellow,2026-02-12 03:39
IND-FL-0127,54,57.61,Green,2026-02-15 04:12
IND-FL-0128,147,57.42,Red,2026-02-12 04:22
IND-FL-0129,199,51.47,Green,2026-02-14 10:14
IND-FL-0130,404,63.35,Yellow,2026-02-14 18:39
IND-FL-0131,286,78.48,Green,2026-02-14 17:07
IND-FL-0132,445,10.24,Green,2026-02-16 08:49
IND-FL-0133,48,46.14,Green,2026-02-15 12:50
IND-FL-0134,105,36.56,Green,2026-02-11 14:27
IND-FL-0135,328,31.02,Green,2026-02-16 21:56
IND-FL-0136,103,21.94,Red,2026-02-10 20:32
IND-FL-0137,33,69.59,Green,2026-02-15 22:50
IND-FL-0138,394,37.93,Yellow,2026-02-13 12:05
IND-FL-0139,249,55.52,Green,2026-02-15 14:40
IND-FL-0140,338,54.45,Green,2026-02-13 14:42
IND-FL-0141,127,24.99,Yellow,2026-02-17 16:18
IND-FL-0142,270,31.99,Red,2026-02-16 02:55
IND-FL-0143,300,30.11,Yellow,2026-02-12 20:44
IND-FL-0144,422,26.61,Green,2026-02-13 13:25
IND-FL-0145,278,29.23,Green,2026-02-12 15:35
IND-FL-0146,27,69.56,Red,2026-02-10 21:05
IND-FL-0147,242,35.01,Yellow,2026-02-14 15:47
IND-FL-0148,402,73.84,Yellow,2026-02-13 15:15
IND-FL-0149,168,19.79,Red,2026-02-11 07:41
IND-FL-0150,175,55.58,Green,2026-02-16 11:10
IND-FL-0151,81,15.32,Green,2026-02-13 13:14
IND-FL-0152,218,64.44,Red,2026-02-11 00:19
IND-FL-0153,118,55.45,Green,2026-02-11 15:38
IND-FL-0154,348,79.42,Red,2026-02-16 18:10
IND-FL-0155,116,55.98,Green,2026-02-16 02:31
IND-FL-0156,105,10.48,Green,2026-02-11 19:10
IND-FL-0157,217,69.98,Green,2026-02-12 18:18
IND-FL-0158,82,55.35,Green,2026-02-17 15:24
IND-FL-0159,44,34.8,Green,2026-02-11 19:09
IND-FL-0160,36,39.56,Green,2026-02-11 01:42
IND-FL-0161,196,58.6,Red,2026-02-17 01:12
IND-FL-0162,407,50.54,Red,2026-02-14 01:48
IND-FL-0163,234,53.16,Yellow,2026-02-13 02:19
IND-FL-0164,442,36.4,Yellow,2026-02-12 06:05
IND-FL-0165,121,33.86,Yellow,2026-02-17 05:32
IND-FL-0166,29,41.56,Green,2026-02-15 06:33
IND-FL-0167,361,79.15,Green,2026-02-15 03:50
IND-FL-0168,318,24.68,Green,2026-02-11 06:29
IND-FL-0169,278,18.62,Yellow,2026-02-17 15:05
IND-FL-0170,165,25.68,Yellow,2026-02-16 05:12
IND-FL-0171,425,17.79,Yellow,2026-02-11 02:51
IND-FL-0172,26,39.83,Green,2026-02-13 17:46
IND-FL-0173,233,41.56,Yellow,2026-02-14 16:00
IND-FL-0174,348,17.77,Green,2026-02-15 08:38
IND-FL-0175,41,33.36,Green,2026-02-15 16:33
IND-FL-0176,378,60.72,Green,2026-02-10 20:31
IND-FL-0177,177,64.4,Green,2026-02-11 04:41
IND-FL-0178,94,42.48,Green,2026-02-16 08:37
IND-FL-0179,237,65.87,Yellow,2026-02-13 01:12
IND-FL-0180,378,12.42,Red,2026-02-13 02:18
IND-FL-0181,187,11.84,Green,2026-02-15 19:19
IND-FL-0182,59,34.82,Green,2026-02-11 14:32
IND-FL-0183,165,42.13,Red,2026-02-12 01:27
IND-FL-0184,50,18.71,Green,2026-02-14 04:59
IND-FL-0185,448,35.34,Green,2026-02-11 13:49
IND-FL-0186,69,46.04,Red,2026-02-11 06:13
IND-FL-0187,225,11.86,Green,2026-02-14 13:46
IND-FL-0188,241,51.2,Green,2026-02-12 22:02
IND-FL-0189,319,58.82,Green,2026-02-13 11:32
IND-FL-0190,268,54.51,Yellow,2026-02-16 13:11
IND-FL-0191,331,68.38,Green,2026-02-15 21:50
IND-FL-0192,402,76.89,Yellow,2026-02-13 09:35
IND-FL-0193,232,64.73,Green,2026-02-13 13:57
IND-FL-0194,366,76.29,Yellow,2026-02-11 10:33
IND-FL-0195,133,20.98,Red,2026-02-14 09:24
IND-FL-0196,241,73.99,Green,2026-02-13 04:21
IND-FL-0197,160,65.63,Green,2026-02-15 07:11
IND-FL-0198,362,76.15,Green,2026-02-14 15:19
IND-FL-0199,36,14.97,Yellow,2026-02-15 22:45
IND-FL-0200,110,50.85,Yellow,2026-02-15 08:19
IND-FL-0201,76,39.23,Red,2026-02-17 16:38
IND-FL-0202,408,16.4,Green,2026-02-16 22:56
IND-FL-0203,127,65.11,Yellow,2026-02-12 05:44
IND-FL-0204,266,69.53,Yellow,2026-02-11 12:23
IND-FL-0205,44,78.21,Green,2026-02-15 18:12
IND-FL-0206,270,44.19,Green,2026-02-15 11:07
IND-FL-0207,202,10.16,Red,2026-02-13 18:37
IND-FL-0208,87,57.84,Green,2026-02-16 22:40
IND-FL-0209,66,18.55,Red,2026-02-17 07:52
IND-FL-0210,133,30.61,Green,2026-02-12 22:21
IND-FL-0211,97,73.17,Yellow,2026-02-12 17:14
IND-FL-0212,216,64.68,Red,2026-02-15 20:16
IND-FL-0213,337,71.21,Red,2026-02-15 09:00
IND-FL-0214,301,44.01,Yellow,2026-02-12 22:57
IND-FL-0215,293,72.18,Green,2026-02-14 08:41
IND-FL-0216,304,37.98,Green,2026-02-11 17:13
IND-FL-0217,77,66.93,Yellow,2026-02-11 16:38
IND-FL-0218,441,78.44,Green,2026-02-14 22:02
IND-FL-0219,193,31.72,Red,2026-02-14 14:20
IND-FL-0220,315,67.18,Red,2026-02-14 05:05
IND-FL-0221,249,18.22,Green,2026-02-17 06:48
IND-FL-0222,271,52.13,Green,2026-02-13 21:38
IND-FL-0223,340,30.31,Red,2026-02-16 19:17
IND-FL-0224,168,54.72,Green,2026-02-15 22:52
IND-FL-0225,208,14.6,Yellow,2026-02-16 03:03
IND-FL-0226,221,36.65,Green,2026-02-11 17:28
IND-FL-0227,73,29.23,Green,2026-02-15 04:12
IND-FL-0228,210,27.88,Green,2026-02-10 23:57
IND-FL-0229,311,30.96,Red,2026-02-13 06:17
IND-FL-0230,106,36.06,Red,2026-02-11 16:59
IND-FL-0231,188,33.39,Green,2026-02-15 22:18
IND-FL-0232,296,25.05,Yellow,2026-02-12 13:38
IND-FL-0233,217,56.96,Green,2026-02-13 19:19
IND-FL-0234,245,50.12,Red,2026-02-11 02:59
IND-FL-0235,146,64.41,Green,2026-02-14 19:00
IND-FL-0236,233,26.8,Yellow,2026-02-14 00:20
IND-FL-0237,265,54.16,Green,2026-02-17 17:15
IND-FL-0238,123,73.78,Green,2026-02-17 04:16
IND-FL-0239,118,51.01,Green,2026-02-11 00:16
IND-FL-0240,123,14.03,Green,2026-02-12 16:40
IND-FL-0241,194,16.15,Green,2026-02-14 01:41
IND-FL-0242,40,13.55,Green,2026-02-13 14:34
IND-FL-0243,62,31.3,Red,2026-02-13 09:12
IND-FL-0244,71,18.01,Red,2026-02-12 23:44
IND-FL-0245,329,58.24,Green,2026-02-17 02:52
IND-FL-0246,115,13.01,Green,2026-02-13 15:46
IND-FL-0247,27,11.67,Red,2026-02-12 09:52
IND-FL-0248,19,15.67,Red,2026-02-16 15:06
IND-FL-0249,142,57.66,Red,2026-02-15 04:42
IND-FL-0250,345,36.19,Green,2026-02-17 05:57
IND-FL-0251,202,39.57,Red,2026-02-14 06:58
IND-FL-0252,334,64.18,Yellow,2026-02-17 01:59
IND-FL-0253,197,76.45,Green,2026-02-15 01:18
IND-FL-0254,167,53.14,Yellow,2026-02-15 17:02
IND-FL-0255,39,50.53,Red,2026-02-16 00:36
IND-FL-0256,302,17.02,Green,2026-02-13 08:34
IND-FL-0257,248,59.49,Green,2026-02-17 08:20
IND-FL-0258,93,28.61,Red,2026-02-17 10:49
IND-FL-0259,195,50.9,Green,2026-02-16 10:23
IND-FL-0260,63,19.68,Green,2026-02-16 00:16
IND-FL-0261,159,73.03,Green,2026-02-15 22:11
IND-FL-0262,331,38.04,Green,2026-02-12 08:56
IND-FL-0263,334,63.33,Green,2026-02-12 12:39
IND-FL-0264,72,72.22,Green,2026-02-14 21:56
IND-FL-0265,408,15.27,Green,2026-02-12 01:41
IND-FL-0266,20,46.25,Green,2026-02-17 15:13
IND-FL-0267,301,56.09,Red,2026-02-12 15:47
IND-FL-0268,207,35.83,Yellow,2026-02-12 08:40
IND-FL-0269,344,19.58,Green,2026-02-15 06:10
IND-FL-0270,357,66.82,Red,2026-02-12 02:24
IND-FL-0271,130,34.32,Green,2026-02-17 12:52
IND-FL-0272,98,74.69,Red,2026-02-14 19:24
IND-FL-0273,7,58.74,Green,2026-02-14 14:51
IND-FL-0274,252,19.13,Green,2026-02-16 15:12
IND-FL-0275,42,42.57,Yellow,2026-02-14 07:00
IND-FL-0276,159,38.59,Green,2026-02-11 13:31
IND-FL-0277,230,45.83,Green,2026-02-17 08:58
IND-FL-0278,364,21.45,Green,2026-02-13 10:39
IND-FL-0279,399,24.81,Green,2026-02-11 11:45
IND-FL-0280,217,33.16,Green,2026-02-15 03:26
IND-FL-0281,114,53.61,Red,2026-02-15 05:47
IND-FL-0282,157,34.52,Yellow,2026-02-13 13:06
IND-FL-0283,420,15.53,Green,2026-02-15 13:17
IND-FL-0284,321,67.32,Green,2026-02-14 13:00
IND-FL-0285,220,27.16,Green,2026-02-14 02:48
IND-FL-0286,310,76.47,Green,2026-02-16 20:49
IND-FL-0287,305,55.46,Red,2026-02-17 06:21
IND-FL-0288,212,42.32,Yellow,2026-02-17 03:20
IND-FL-0289,243,37.2,Green,2026-02-16 08:05
IND-FL-0290,51,26.2,Green,2026-02-12 09:28
IND-FL-0291,123,13.93,Green,2026-02-14 16:57
IND-FL-0292,220,74.3,Green,2026-02-14 01:15
IND-FL-0293,328,78.48,Yellow,2026-02-12 19:08
IND-FL-0294,352,69.26,Green,2026-02-13 23:33
IND-FL-0295,131,15.36,Green,2026-02-14 23:49
IND-FL-0296,350,51.34,Red,2026-02-15 00:48
IND-FL-0297,89,39.23,Green,2026-02-12 17:44
IND-FL-0298,370,67.75,Yellow,2026-02-14 21:22
IND-FL-0299,170,63.16,Green,2026-02-14 04:44
IND-FL-0300,395,31.44,Yellow,2026-02-16 15:18
IND-FL-0301,425,13.92,Green,2026-02-16 15:33
IND-FL-0302,313,29.72,Green,2026-02-12 05:09
IND-FL-0303,325,72.86,Red,2026-02-13 15:46
IND-FL-0304,283,51.59,Green,2026-02-14 04:54
IND-FL-0305,408,65.7,Green,2026-02-13 14:14
IND-FL-0306,43,40.33,Green,2026-02-10 21:19
IND-FL-0307,434,12.23,Green,2026-02-13 08:40
IND-FL-0308,374,76.35,Yellow,2026-02-11 16:27
IND-FL-0309,197,44.6,Yellow,2026-02-16 18:19
IND-FL-0310,373,62.24,Red,2026-02-15 02:21
IND-FL-0311,135,46.51,Green,2026-02-17 15:05
IND-FL-0312,347,76.19,Yellow,2026-02-17 11:51
IND-FL-0313,315,13.92,Yellow,2026-02-10 21:10
IND-FL-0314,188,76.3,Green,2026-02-14 07:01
IND-FL-0315,180,41.88,Green,2026-02-11 00:20
IND-FL-0316,346,10.81,Yellow,2026-02-15 06:45
IND-FL-0317,202,12.82,Red,2026-02-12 09:59
IND-FL-0318,360,61.62,Red,2026-02-14 20:29
IND-FL-0319,377,73.32,Green,2026-02-17 12:58
IND-FL-0320,348,52.47,Red,2026-02-11 18:18
IND-FL-0321,322,32.26,Green,2026-02-11 00:51
IND-FL-0322,164,40.03,Green,2026-02-16 14:18
IND-FL-0323,277,36.95,Green,2026-02-13 13:59
IND-FL-0324,286,17.73,Green,2026-02-12 07:35
IND-FL-0325,71,41.11,Green,2026-02-15 10:04
IND-FL-0326,177,53.16,Green,2026-02-17 01:33
IND-FL-0327,314,34.87,Red,2026-02-16 20:21
IND-FL-0328,335,22.6,Red,2026-02-14 03:44
IND-FL-0329,19,49.12,Green,2026-02-15 16:58
IND-FL-0330,366,15.25,Green,2026-02-12 23:39
IND-FL-0331,27,39.32,Green,2026-02-13 22:03
IND-FL-0332,303,45.68,Red,2026-02-16 20:37
IND-FL-0333,418,51.62,Green,2026-02-14 03:33
IND-FL-0334,242,14.17,Yellow,2026-02-12 05:21
IND-FL-0335,67,58.71,Green,2026-02-15 00:05
IND-FL-0336,145,21.59,Yellow,2026-02-11 01:58
IND-FL-0337,260,56.81,Yellow,2026-02-11 01:26
IND-FL-0338,241,35.32,Red,2026-02-14 15:12
IND-FL-0339,245,44.86,Green,2026-02-14 01:50
IND-FL-0340,440,41.95,Green,2026-02-13 19:29
IND-FL-0341,20,34.39,Green,2026-02-13 13:12
IND-FL-0342,400,69.59,Yellow,2026-02-11 22:22
IND-FL-0343,42,46.4,Yellow,2026-02-12 01:34
IND-FL-0344,412,76.84,Green,2026-02-11 01:48
IND-FL-0345,349,13.41,Yellow,2026-02-17 07:52
IND-FL-0346,351,65.39,Yellow,2026-02-14 17:25
IND-FL-0347,298,75.2,Green,2026-02-11 20:04
IND-FL-0348,427,77.63,Red,2026-02-11 17:23
IND-FL-0349,43,54.08,Yellow,2026-02-12 08:12
IND-FL-0350,318,28.29,Green,2026-02-16 15:32
IND-FL-0351,314,44.51,Red,2026-02-14 06:59
IND-FL-0352,181,10.02,Yellow,2026-02-14 17:40
IND-FL-0353,142,42.25,Yellow,2026-02-15 20:38
IND-FL-0354,133,12.19,Red,2026-02-14 07:58
IND-FL-0355,235,73.91,Green,2026-02-16 16:01
IND-FL-0356,383,14.46,Yellow,2026-02-13 16:01
IND-FL-0357,265,53.99,Green,2026-02-14 18:55
IND-FL-0358,128,38.01,Yellow,2026-02-12 05:12
IND-FL-0359,148,51.18,Red,2026-02-11 07:17
IND-FL-0360,183,61.3,Red,2026-02-12 03:56
IND-FL-0361,77,38.87,Green,2026-02-16 10:34
IND-FL-0362,378,31.48,Yellow,2026-02-12 05:45
IND-FL-0363,95,10.79,Green,2026-02-11 01:12
IND-FL-0364,370,61.93,Yellow,2026-02-14 07:53
IND-FL-0365,213,31.69,Red,2026-02-17 06:05
IND-FL-0366,289,64.88,Green,2026-02-16 03:17
IND-FL-0367,209,77.95,Green,2026-02-17 01:44
IND-FL-0368,421,26.35,Green,2026-02-14 07:04
IND-FL-0369,5,20.72,Green,2026-02-12 10:51
IND-FL-0370,280,15.32,Green,2026-02-12 01:18
IND-FL-0371,273,60.95,Red,2026-02-12 03:30
IND-FL-0372,311,38.74,Yellow,2026-02-12 08:22
IND-FL-0373,154,55.54,Green,2026-02-11 20:05
IND-FL-0374,70,69.56,Green,2026-02-15 23:48
IND-FL-0375,308,63.91,Green,2026-02-14 10:04
IND-FL-0376,50,63.44,Green,2026-02-14 04:17
IND-FL-0377,103,25.52,Yellow,2026-02-15 19:44
IND-FL-0378,173,34.97,Yellow,2026-02-17 04:54
IND-FL-0379,202,27.49,Yellow,2026-02-17 04:12
IND-FL-0380,174,10.74,Green,2026-02-17 08:33
IND-FL-0381,342,51.61,Red,2026-02-11 07:26
IND-FL-0382,9,50.65,Yellow,2026-02-16 06:36
IND-FL-0383,392,29.56,Green,2026-02-12 02:45
IND-FL-0384,160,30.5,Green,2026-02-14 14:58
IND-FL-0385,8,76.41,Red,2026-02-12 21:12
IND-FL-0386,180,23.78,Yellow,2026-02-16 18:50
IND-FL-0387,137,63.27,Green,2026-02-12 20:43
IND-FL-0388,72,65.46,Green,2026-02-14 18:19
IND-FL-0389,244,14.71,Green,2026-02-16 15:18
IND-FL-0390,429,40.1,Yellow,2026-02-13 08:16
IND-FL-0391,160,10.59,Green,2026-02-14 11:17
IND-FL-0392,199,58.2,Red,2026-02-13 19:41
IND-FL-0393,137,44.22,Green,2026-02-17 09:47
IND-FL-0394,23,50.98,Yellow,2026-02-12 12:56
IND-FL-0395,288,28.58,Yellow,2026-02-12 00:35
IND-FL-0396,352,16.38,Yellow,2026-02-12 01:01
IND-FL-0397,102,40.55,Green,2026-02-17 17:52
IND-FL-0398,77,51.2,Yellow,2026-02-14 16:42
IND-FL-0399,26,18.73,Green,2026-02-15 09:12
IND-FL-0400,358,74.26,Green,2026-02-11 00:10
IND-FL-0401,36,16.1,Green,2026-02-14 19:28
IND-FL-0402,328,17.43,Red,2026-02-17 18:02
IND-FL-0403,42,71.69,Red,2026-02-11 22:52
IND-FL-0404,395,58.8,Green,2026-02-15 12:28
IND-FL-0405,44,28.61,Yellow,2026-02-17 15:43
IND-FL-0406,251,67.07,Red,2026-02-14 12:50
IND-FL-0407,250,47.77,Yellow,2026-02-10 23:40
IND-FL-0408,332,20.73,Green,2026-02-17 08:14
IND-FL-0409,250,12.42,Green,2026-02-12 04:31
IND-FL-0410,60,47.79,Green,2026-02-13 19:48
IND-FL-0411,23,53.77,Yellow,2026-02-17 10:10
IND-FL-0412,231,52.36,Green,2026-02-11 19:02
IND-FL-0413,156,39.72,Red,2026-02-17 13:17
IND-FL-0414,275,38.27,Green,2026-02-17 14:44
IND-FL-0415,198,72.82,Green,2026-02-11 07:56
IND-FL-0416,7,58.21,Green,2026-02-15 11:52
IND-FL-0417,343,37.79,Green,2026-02-15 01:00
IND-FL-0418,157,11.43,Red,2026-02-14 22:00
IND-FL-0419,181,54.06,Red,2026-02-12 18:46
IND-FL-0420,298,54.96,Green,2026-02-17 04:32
IND-FL-0421,121,65.46,Red,2026-02-12 20:48
IND-FL-0422,378,11.53,Yellow,2026-02-15 19:02
IND-FL-0423,182,18.97,Red,2026-02-14 22:09
IND-FL-0424,22,20.17,Green,2026-02-14 10:26
IND-FL-0425,367,52.81,Yellow,2026-02-13 11:45
IND-FL-0426,450,41.15,Red,2026-02-15 17:29
IND-FL-0427,309,32.37,Yellow,2026-02-11 08:59
IND-FL-0428,375,10.14,Yellow,2026-02-17 13:39
IND-FL-0429,374,31.79,Red,2026-02-11 13:30
IND-FL-0430,182,67.47,Green,2026-02-10 20:08
IND-FL-0431,185,66.55,Red,2026-02-12 04:45
IND-FL-0432,134,35.34,Red,2026-02-11 21:27
IND-FL-0433,393,78.16,Yellow,2026-02-15 11:07
IND-FL-0434,96,37.37,Yellow,2026-02-16 07:28
IND-FL-0435,269,34.92,Green,2026-02-14 03:37
IND-FL-0436,296,53.18,Green,2026-02-14 01:21
IND-FL-0437,271,61.18,Green,2026-02-12 01:29
IND-FL-0438,305,31.41,Red,2026-02-16 03:32
IND-FL-0439,210,74.39,Yellow,2026-02-11 23:00
IND-FL-0440,217,13.09,Green,2026-02-13 19:45
IND-FL-0441,316,45.44,Green,2026-02-13 08:55
IND-FL-0442,446,23.21,Green,2026-02-13 14:03
IND-FL-0443,182,22.68,Green,2026-02-11 19:49
IND-FL-0444,88,20.56,Green,2026-02-12 04:57
IND-FL-0445,423,55.11,Red,2026-02-11 12:16
IND-FL-0446,49,46.38,Green,2026-02-16 10:56
IND-FL-0447,384,48.39,Green,2026-02-11 06:15
IND-FL-0448,276,58.46,Green,2026-02-12 13:22
IND-FL-0449,254,19.35,Red,2026-02-13 20:25
IND-FL-0450,140,10.1,Red,2026-02-15 15:52
IND-FL-0451,267,77.34,Red,2026-02-16 01:19
IND-FL-0452,148,73.61,Yellow,2026-02-17 14:12
IND-FL-0453,322,21.59,Red,2026-02-15 03:59
IND-FL-0454,7,21.1,Red,2026-02-11 08:46
IND-FL-0455,362,47.89,Yellow,2026-02-16 10:35
IND-FL-0456,28,63.91,Yellow,2026-02-12 03:07
IND-FL-0457,18,66.55,Green,2026-02-15 13:14
IND-FL-0458,272,22.64,Red,2026-02-17 14:45
IND-FL-0459,74,49.33,Green,2026-02-17 00:00
IND-FL-0460,135,16.67,Yellow,2026-02-13 05:19
IND-FL-0461,81,60.83,Red,2026-02-13 15:29
IND-FL-0462,315,62.08,Green,2026-02-14 11:08
IND-FL-0463,338,43.14,Green,2026-02-17 17:49
IND-FL-0464,132,72.48,Red,2026-02-12 09:51
IND-FL-0465,434,29.95,Red,2026-02-14 09:11
IND-FL-0466,226,77.55,Green,2026-02-11 19:56
IND-FL-0467,203,34.18,Yellow,2026-02-14 03:58
IND-FL-0468,377,37.63,Yellow,2026-02-13 02:39
IND-FL-0469,198,28.8,Red,2026-02-12 05:37
IND-FL-0470,194,42.4,Red,2026-02-11 03:04
IND-FL-0471,149,27.67,Green,2026-02-17 04:14
